674080141233008640<||>Tue Dec 08 04:16:44 +0000 2015<||>Soul of Chennai are the beautiful souls that help to reunite the city #WeStandUnited #ChennaiFloods  https://t.co/VjetssDRsj
674080630032871424<||>Tue Dec 08 04:18:40 +0000 2015<||>Govt resources will be deployed for VIP Rahul G chennai trip.The city needs resources for relief not politicians photo ops. #ChennaiFloods
674080642309615616<||>Tue Dec 08 04:18:43 +0000 2015<||>Chennai all set to embrace the next big disaster - called Rahul Gandhi. This too shall pass. Stay strong!   #ChennaiFloods #chennaidrowning
674080661989425153<||>Tue Dec 08 04:18:48 +0000 2015<||>#ChennaiFloods - #TataDocomo announces #helpline number 1948 to locate friends and family in #TamilNadu https://t.co/RQoEqVmSJP
674080666917593088<||>Tue Dec 08 04:18:49 +0000 2015<||>@udayfoundation want to send relief material for people in Chennai but can't come to Delhi.Please tell if I can courier to your address .
674080749868355586<||>Tue Dec 08 04:19:09 +0000 2015<||>Retweeted KingAjith_OnlineNews (@iam_K_A):  20 volunteers Available for distribution in any part of Chennai !!... https://t.co/o0BRXBbRUn
674081550800166913<||>Tue Dec 08 04:22:20 +0000 2015<||>'Car-cum-boat' helping victims in Chennai https://t.co/aqOMx3oqVq
674081925208735745<||>Tue Dec 08 04:23:49 +0000 2015<||>Y'day, @tejasndtv told you how Army got zilch help. Now, we find govt let 30,000 cops sit idle while Chennai sank.  https://t.co/uvQwPeXXUk
674082018796310528<||>Tue Dec 08 04:24:11 +0000 2015<||>@iamsrk Iam your diehard fan from Chennai.Tell your co-actors to provide relief fund in Chennai. Also contact your advertisement promoters $
674082054514995201<||>Tue Dec 08 04:24:20 +0000 2015<||>@relief_chennai @ChennaiIPL thanku :) will inform the volunteer
674082569068003328<||>Tue Dec 08 04:26:22 +0000 2015<||>Water has receded in Chennai and Rahul is going to visit the city.Folks dont go out Traffic going to be blocked worse than what just hit you
674082840011743234<||>Tue Dec 08 04:27:27 +0000 2015<||>As the waters recede they expose not only the filth but also the character of our society. #ChennaiFloods show the best and worst of Chennai
674083494927179777<||>Tue Dec 08 04:30:03 +0000 2015<||>The #ChennaiFloods showed the best of Chennai- the humanity of common people, the selfless volunteerism, the willingness to help strangers..
